POS,PLAYER,Runs,BF,4s,6s,SR,Against,Venue,Match Date
1,Jonny Bairstow,114,56,12,7,203.57,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
2,Prithvi Shaw,99,55,12,3,180.00,KKR,Feroz Shah Kotla Ground,30 March 2019
3,Ajinkya Rahane,105,63,11,3,166.66,DC,Sawai Mansingh Stadium,22 April 2019
4,Shikhar Dhawan,97,63,11,2,153.96,KKR,Eden Gardens,12 April 2019
5,David Warner,50,25,10,0,200.00,CSK,Rajiv Gandhi Intl. Cricket Stadium,17 April 2019
6,Sanju Samson,102,55,10,4,185.45,SRH,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
7,Faf du Plessis,96,55,10,4,174.54,KXIP,IS Bindra Stadium,05 May 2019
8,Jos Buttler,69,43,10,2,160.46,KXIP,Sawai Mansingh Stadium,25 March 2019
9,Chris Gayle,99,64,10,5,154.68,RCB,IS Bindra Stadium,13 April 2019
10,Suryakumar Yadav,71,54,10,0,131.48,CSK,Chidambaram,07 May 2019
11,David Warner,69,37,9,2,186.48,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
12,Nitish Rana,85,46,9,5,184.78,RCB,Eden Gardens,19 April 2019
13,Shane Watson,96,53,9,6,181.13,SRH,Chidambaram,23 April 2019
14,Virat Kohli,100,58,9,4,172.41,KKR,Eden Gardens,19 April 2019
15,Jonny Bairstow,48,28,9,1,171.42,DC,Feroz Shah Kotla Ground,04 April 2019
16,Virat Kohli,84,49,9,2,171.42,KKR,M. Chinnaswamy Stadium,05 April 2019
17,Manish Pandey,61,36,9,0,169.44,RR,Sawai Mansingh Stadium,27 April 2019
18,Parthiv Patel,67,41,9,1,163.41,RR,Sawai Mansingh Stadium,02 April 2019
19,David Warner,85,53,9,3,160.37,KKR,Eden Gardens,24 March 2019
20,Jos Buttler,89,43,8,7,206.97,MI,Wankhede Stadium,13 April 2019
21,Shikhar Dhawan,54,27,8,2,200.00,RR,Sawai Mansingh Stadium,22 April 2019
22,Chris Lynn,54,29,8,2,186.20,MI,Eden Gardens,28 April 2019
23,Chris Gayle,79,47,8,4,168.08,RR,Sawai Mansingh Stadium,25 March 2019
24,Suresh Raina,59,37,8,1,159.45,DC,Chidambaram,01 May 2019
25,Steve Smith,50,32,8,0,156.25,DC,Sawai Mansingh Stadium,22 April 2019
26,Manish Pandey,71,47,8,2,151.06,MI,Wankhede Stadium,02 May 2019
27,Rohit Sharma,48,33,8,1,145.45,RCB,M. Chinnaswamy Stadium,28 March 2019
28,Nitish Rana,68,47,8,3,144.68,SRH,Eden Gardens,24 March 2019
29,Suryakumar Yadav,59,43,8,1,137.20,CSK,Wankhede Stadium,03 April 2019
30,Jos Buttler,59,43,8,1,137.20,RCB,Sawai Mansingh Stadium,02 April 2019
31,Shane Watson,80,59,8,4,135.59,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2019
32,Gurkeerat Mann Singh,65,48,8,1,135.41,SRH,M. Chinnaswamy Stadium,04 May 2019
33,Shreyas Iyer,67,50,8,2,134.00,RCB,M. Chinnaswamy Stadium,07 April 2019
34,Virat Kohli,67,53,8,0,126.41,KXIP,IS Bindra Stadium,13 April 2019
35,Rohit Sharma,55,48,8,0,114.58,KKR,Wankhede Stadium,05 May 2019
36,Kedar Jadhav,58,54,8,1,107.40,MI,Wankhede Stadium,03 April 2019
37,Rishabh Pant,78,27,7,7,288.88,MI,Wankhede Stadium,24 March 2019
38,Sam Curran,55,24,7,2,229.16,KKR,IS Bindra Stadium,03 May 2019
39,KL Rahul,71,36,7,5,197.22,CSK,IS Bindra Stadium,05 May 2019
40,Parthiv Patel,39,20,7,1,195.00,DC,Feroz Shah Kotla Ground,28 April 2019
41,Dinesh Karthik,97,50,7,9,194.00,RR,Eden Gardens,25 April 2019
42,Jonny Bairstow,80,43,7,4,186.04,KKR,Rajiv Gandhi Intl. Cricket Stadium,21 April 2019
43,Parthiv Patel,43,24,7,2,179.16,KXIP,M. Chinnaswamy Stadium,24 April 2019
44,Manish Pandey,83,49,7,3,169.38,CSK,Chidambaram,23 April 2019
45,Shubman Gill,65,39,7,2,166.66,DC,Eden Gardens,12 April 2019
46,Chris Lynn,82,51,7,6,160.78,CSK,Eden Gardens,14 April 2019
47,KL Rahul,42,27,7,1,155.55,RCB,M. Chinnaswamy Stadium,24 April 2019
48,Colin Ingram,47,32,7,1,146.87,MI,Wankhede Stadium,24 March 2019
49,David Warner,81,56,7,2,144.64,KXIP,Rajiv Gandhi Intl. Cricket Stadium,29 April 2019
50,Suresh Raina,58,42,7,1,138.09,KKR,Eden Gardens,14 April 2019
51,Shikhar Dhawan,56,41,7,1,136.58,KXIP,Feroz Shah Kotla Ground,20 April 2019
52,KL Rahul,71,53,7,1,133.96,SRH,IS Bindra Stadium,08 April 2019
53,Faf du Plessis,50,39,7,1,128.20,DC,ACA-VDCA Stadium,10 May 2019
54,Steve Smith,73,59,7,1,123.72,KKR,Sawai Mansingh Stadium,07 April 2019
55,Shikhar Dhawan,51,47,7,0,108.51,CSK,Feroz Shah Kotla Ground,26 March 2019
56,Hardik Pandya,91,34,6,9,267.64,KKR,Eden Gardens,28 April 2019
57,Rishabh Pant,78,36,6,4,216.66,RR,Sawai Mansingh Stadium,22 April 2019
58,Andre Russell,80,40,6,8,200.00,MI,Eden Gardens,28 April 2019
59,Sunil Narine,47,25,6,3,188.00,RR,Sawai Mansingh Stadium,07 April 2019
60,Chris Gayle,69,37,6,5,186.48,DC,Feroz Shah Kotla Ground,20 April 2019
61,Sanju Samson,35,19,6,1,184.21,MI,Sawai Mansingh Stadium,20 April 2019
62,Ajinkya Rahane,37,21,6,1,176.19,MI,Wankhede Stadium,13 April 2019
63,Mayank Agarwal,58,34,6,1,170.58,KKR,Eden Gardens,27 March 2019
64,Shubman Gill,76,45,6,4,168.88,MI,Eden Gardens,28 April 2019
65,Jonny Bairstow,45,28,6,1,160.71,RR,Rajiv Gandhi Intl. Cricket Stadium,29 March 2019
66,Sarfaraz Khan,46,29,6,1,158.62,RR,Sawai Mansingh Stadium,25 March 2019
67,Suresh Raina,38,24,6,1,158.33,SRH,Chidambaram,23 April 2019
68,KL Rahul,100,64,6,6,156.25,MI,Wankhede Stadium,10 April 2019
69,Chris Lynn,50,32,6,3,156.25,RR,Sawai Mansingh Stadium,07 April 2019
70,Quinton de Kock,81,52,6,4,155.76,RR,Wankhede Stadium,13 April 2019
71,Quinton de Kock,60,39,6,2,153.84,KXIP,IS Bindra Stadium,30 March 2019
72,Prithvi Shaw,56,38,6,2,147.36,SRH,ACA-VDCA Stadium,08 May 2019
73,AB de Villiers,75,51,6,4,147.05,MI,Wankhede Stadium,15 April 2019
74,Rohit Sharma,47,32,6,1,146.87,RR,Wankhede Stadium,13 April 2019
75,Virat Kohli,46,32,6,0,143.75,MI,M. Chinnaswamy Stadium,28 March 2019
76,Rohit Sharma,67,48,6,3,139.58,CSK,Chidambaram,26 April 2019
77,Quinton de Kock,65,47,6,2,138.29,RR,Sawai Mansingh Stadium,20 April 2019
78,Sarfaraz Khan,39,29,6,0,134.48,DC,IS Bindra Stadium,01 April 2019
79,Robin Uthappa,67,50,6,2,134.00,KXIP,Eden Gardens,27 March 2019
80,Robin Uthappa,33,25,6,0,132.00,RCB,M. Chinnaswamy Stadium,05 April 2019
81,KL Rahul,71,57,6,1,124.56,MI,IS Bindra Stadium,30 March 2019
82,Quinton de Kock,69,58,6,2,118.96,SRH,Wankhede Stadium,02 May 2019
83,David Warner,70,62,6,1,112.90,KXIP,IS Bindra Stadium,08 April 2019
84,Moeen Ali,66,28,5,6,235.71,KKR,Eden Gardens,19 April 2019
85,Hardik Pandya,37,16,5,2,231.25,RCB,Wankhede Stadium,15 April 2019
86,Krunal Pandya,32,15,5,1,213.33,DC,Wankhede Stadium,24 March 2019
87,Chris Lynn,46,22,5,3,209.09,KXIP,IS Bindra Stadium,03 May 2019
88,AB de Villiers,63,32,5,4,196.87,KKR,M. Chinnaswamy Stadium,05 April 2019
89,Ravindra Jadeja,31,17,5,0,182.35,KKR,Eden Gardens,14 April 2019
90,David Warner,100,55,5,5,181.81,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
91,Rohit Sharma,32,18,5,0,177.77,KXIP,IS Bindra Stadium,30 March 2019
92,MS Dhoni,84,48,5,7,175.00,RCB,M. Chinnaswamy Stadium,21 April 2019
93,Suryakumar Yadav,46,27,5,2,170.37,KKR,Wankhede Stadium,05 May 2019
94,Wriddhiman Saha,25,15,5,0,166.66,MI,Wankhede Stadium,02 May 2019
95,Mayank Agarwal,35,21,5,1,166.66,RCB,M. Chinnaswamy Stadium,24 April 2019
96,Kane Williamson,70,43,5,4,162.79,RCB,M. Chinnaswamy Stadium,04 May 2019
97,Moeen Ali,26,16,5,0,162.50,CSK,M. Chinnaswamy Stadium,21 April 2019
98,Rahul Tripathi,39,24,5,1,162.50,CSK,Chidambaram,31 March 2019
99,Ajinkya Rahane,34,21,5,1,161.90,KKR,Eden Gardens,25 April 2019
100,Shikhar Dhawan,35,22,5,1,159.09,MI,Feroz Shah Kotla Ground,18 April 2019
